Timestamp,TMAXOBS,TMINOBS,WMAXOBS,RTOTOBS,TMAXGFS,TMINGFS,WMAXGFS,RTOTGFS
2010-01-02,-14.444444444444445,-20.555555555555554,6.705409029950827,0.0,-11.26,-16.46,7.323933369440223,0.05
2010-01-03,-12.222222222222221,-21.11111111111111,4.917299955297273,0.0,-10.16,-15.96,4.6872166581031856,0.0
2010-01-04,-11.666666666666666,-18.88888888888889,8.940545373267769,0.0,-9.96,-14.36,5.941380311005179,0.06
2010-01-05,-12.222222222222221,-18.333333333333332,7.152436298614215,,-8.46,-12.86,5.685068161420759,0.16999999999999998
2010-01-06,-7.777777777777778,-19.444444444444443,3.5762181493071075,0.0,-7.16,-11.06,3.7947331922020555,0.77
2010-01-07,-5.555555555555555,-12.222222222222221,11.17568171658471,,-5.46,-7.46,9.548298277703731,7.1
2010-01-08,-7.222222222222222,-14.444444444444445,8.940545373267769,,-3.46,-13.66,8.645229898620395,1.3400000000000003
2010-01-09,-12.777777777777777,-22.77777777777778,7.152436298614215,0.0,-8.56,-13.96,4.441846462902562,0.03
2010-01-10,-7.222222222222222,-24.444444444444443,8.046490835940991,0.0,-7.26,-15.26,7.424957912338629,0.0
2010-01-11,-5.0,-8.88888888888889,7.152436298614215,0.0,-2.86,-7.86,6.931089380465382,1.0
2010-01-12,-3.333333333333333,-11.11111111111111,6.705409029950827,,-3.86,-7.96,6.161168720299744,0.19000000000000006
2010-01-13,0.5555555555555556,-11.666666666666666,7.599463567277604,0.0,0.34,-7.56,6.673080248281149,0.0
2010-01-14,2.7777777777777777,-3.888888888888889,6.705409029950827,0.0,1.24,-3.26,5.724508712544683,0.8700000000000001
2010-01-15,1.6666666666666665,-1.1111111111111112,3.5762181493071075,0.0,1.64,-1.76,3.132091952673165,0.3300000000000001
2010-01-16,0.5555555555555556,-2.2222222222222223,3.5762181493071075,0.0,2.54,-1.96,2.4,0.0
2010-01-17,0.0,-2.7777777777777777,7.152436298614215,0.0,2.44,-1.76,3.4132096331752027,0.0
2010-01-18,1.1111111111111112,0.0,4.917299955297273,0.0,2.34,-2.96,3.4525353003264136,0.3200000000000001
2010-01-19,0.0,-2.7777777777777777,6.705409029950827,0.0,1.44,-3.66,3.623534186398688,0.0
2010-01-20,0.0,-2.7777777777777777,9.834599910594546,,1.34,-4.06,7.66550715869472,6.3
2010-01-21,1.1111111111111112,0.0,9.387572641931158,,2.54,0.74,8.367197858303577,4.14
2010-01-22,2.2222222222222223,0.0,7.599463567277604,,2.64,0.64,5.830951894845301,0.6000000000000001
2010-01-23,7.222222222222222,1.1111111111111112,9.834599910594546,0.0,7.84,1.84,8.883692925805123,16.29
2010-01-24,8.333333333333334,-0.5555555555555556,11.17568171658471,,7.34,-0.56,12.182774724995944,18.15
2010-01-25,-0.5555555555555556,-6.111111111111111,12.516763522574877,,-0.06,-4.46,9.865596788841513,3.04
2010-01-26,-6.666666666666666,-10.555555555555555,12.516763522574877,,-4.46,-6.86,9.408506789071259,0.81
2010-01-27,-1.1111111111111112,-10.555555555555555,7.152436298614215,,-0.66,-8.06,6.96419413859206,0.15000000000000002
2010-01-28,-6.111111111111111,-13.88888888888889,7.599463567277604,,-2.66,-10.86,6.931089380465382,0.0
2010-01-29,-7.777777777777778,-12.777777777777777,7.152436298614215,0.0,-8.06,-11.56,5.5901699437494745,0.0
2010-01-30,-5.0,-11.666666666666666,8.046490835940991,0.0,-4.46,-9.56,5.517245689653488,0.0
2010-01-31,-2.7777777777777777,-15.0,4.917299955297273,0.0,-1.86,-9.46,4.491102314577124,0.0
2010-02-01,1.1111111111111112,-10.555555555555555,4.023245417970496,0.0,0.24,-7.96,3.6400549446402586,0.02
2010-02-02,1.1111111111111112,-6.111111111111111,7.152436298614215,0.0,1.24,-2.26,4.609772228646444,0.64
2010-02-03,-2.2222222222222223,-7.222222222222222,6.258381761287438,0.0,0.54,-3.86,4.99799959983992,0.12
2010-02-04,1.6666666666666665,-5.555555555555555,4.917299955297273,0.0,-0.06,-4.16,6.315061361538778,1.82
2010-02-05,0.5555555555555556,-1.1111111111111112,13.857845328565041,,0.44,-1.06,8.275868534480232,9.189999999999998
2010-02-06,-0.5555555555555556,-7.777777777777778,14.751899865891819,,-1.16,-8.76,10.218121158021177,0.51
2010-02-07,-3.333333333333333,-10.0,3.5762181493071075,0.0,-3.16,-8.56,2.823118842698621,0.0
2010-02-08,-2.7777777777777777,-10.555555555555555,5.81135449262405,0.0,-2.96,-10.76,5.008991914547277,2.26
2010-02-09,-5.0,-12.222222222222221,11.6227089852481,,-3.46,-5.96,10.682696288858914,8.649999999999999
2010-02-10,-3.888888888888889,-13.333333333333332,12.516763522574877,,-4.26,-7.86,10.818964830333817,0.98
2010-02-11,-6.111111111111111,-17.77777777777778,3.5762181493071075,0.0,-2.46,-14.06,3.9698866482558417,0.02
2010-02-12,-3.333333333333333,-13.333333333333332,3.5762181493071075,0.0,-3.56,-14.26,3.178049716414141,0.05
2010-02-13,-3.333333333333333,-15.555555555555555,4.917299955297273,,-2.76,-12.36,3.4132096331752027,0.0
2010-02-14,-1.6666666666666665,-14.444444444444445,4.023245417970496,0.0,-2.06,-13.76,4.588027898781785,0.0
2010-02-15,-4.444444444444445,-10.555555555555555,7.599463567277604,,-4.16,-7.56,7.357309290766564,1.86
2010-02-16,-1.6666666666666665,-9.444444444444445,9.387572641931158,,-1.86,-5.76,7.102112361825881,1.6800000000000002
2010-02-17,-1.6666666666666665,-9.444444444444445,6.258381761287438,0.0,-2.46,-5.66,5.374011537017761,0.91
