Timestamp,TMAXOBS,TMINOBS,WMAXOBS,TMAXGFS,TMINGFS,WMAXGFS,RTOTGFS,DWPC,HCLD,LCLD,MCLD,PRCP,PRES,TMPC,UWND,VWND,WSPD,DWPC925,DWPC850,DWPC700,DWPC500,DWPC250,HGHT925,HGHT850,HGHT700,HGHT500,HGHT250,HGHT100,TMPC925,TMPC850,TMPC700,TMPC500,TMPC250,TMPC100,UWND925,UWND850,UWND700,UWND500,UWND250,UWND100,VWND925,VWND850,VWND700,VWND500,VWND250,VWND100
2010-01-02,-14.444444444444445,-20.555555555555557,6.705409029950827,-11.26,-16.46,7.323933369440223,0.05,-17.251666666666665,0.0,52.0,0.16666666666666666,0.008333333333333333,1000.7000000000002,-13.61,4.316666666666666,-5.033333333333333,6.654346632407628,-23.309838840996168,-29.69800041338176,-41.62630033595884,-54.47754982328427,-69.2939947733244,821.4771435185185,1458.8605468450112,2917.852068825269,5383.734654520758,10080.779381696388,15970.180666666667,-17.69905172413793,-15.397922239938582,-17.94963041221091,-27.97576343830775,-54.53922349861181,-56.46333333333333,11.382160088467371,11.337460434735469,22.84403298707528,50.7554446611802,99.23698740097291,54.94788362122855,-19.94154840969883,-21.54172064012513,-34.09880546873681,-54.803357623185065,-56.93407088804739,-21.35685293865436
2010-01-03,-12.222222222222221,-21.11111111111111,4.917299955297273,-10.16,-15.96,4.6872166581031856,0.0,-17.75,7.375,4.625,0.25,0.0,1001.0125,-14.31625,2.23125,-3.3999999999999995,4.126194994794118,-24.77142142600575,-34.48407271458942,-47.006574481110825,-37.26462936184523,-67.64541932192968,825.4853244432472,1465.4189168659755,2942.107072873887,5435.558691337634,10071.91276438209,15964.83725,-15.38323724856322,-14.157435556736646,-14.143927295994285,-27.215948775518278,-56.51196768964168,-54.92875,1.0649531158484054,5.719012484924408,19.718480702779477,39.16373799536744,58.45431022705686,41.9175307344591,-10.027683251982689,-16.035913761856943,-27.248901173545683,-32.519031205281486,-19.351837349795346,-7.591019720728276
2010-01-04,-11.666666666666664,-18.88888888888889,8.94054537326777,-9.96,-14.36,5.941380311005179,0.06,-15.368125,11.428571428571429,6.5,14.125,0.0,998.9875000000001,-12.8975,3.4875000000000007,-3.825,5.199326962953151,-21.906600776693125,-26.17138031640392,-28.97473968375024,-44.523676418222685,-69.69313226703561,813.9781776622334,1460.8885611633227,2937.112551855934,5395.358573775779,10017.633930243446,15929.124375000001,-13.191265687757458,-11.652483468446825,-16.436408729500982,-31.030486396315187,-54.38056955391581,-53.932500000000005,6.073462188409246,4.972694553995909,7.147470199856966,13.311491249295994,18.837869757108386,29.017849266273217,-16.24613617590601,-16.793226540333844,-20.518762767156783,-23.74158293412546,-12.819259451107389,-6.546368582122955
2010-01-05,-12.222222222222221,-18.33333333333333,7.152436298614215,-8.46,-12.86,5.685068161420759,0.16999999999999998,-13.249375,53.625,97.375,40.0625,0.020625,996.6562500000001,-11.291250000000002,4.187499999999999,-3.4375,5.435849738806886,-15.555382751937985,-16.849280897903068,-21.550959231213586,-35.56032289315952,-65.51610289769367,797.9117926356589,1446.6342455484887,2931.1976016865083,5408.48335437473,10025.444339236436,15894.42225,-12.992703488372094,-10.567150641598857,-14.75340981012658,-29.567649725516556,-57.13524851454479,-55.292500000000004,7.634648381008658,5.280623545995912,8.43618074500246,9.011024117149379,14.733188463290304,30.153526262201545,-16.682446274985413,-18.536691559272313,-24.22979312727526,-20.766103321692515,-11.782981812270739,-10.4936282784483
2010-01-06,-7.777777777777778,-19.444444444444443,3.5762181493071075,-7.16,-11.06,3.794733192202056,0.77,-11.528125000000001,8.75,79.625,6.625,0.0175,995.43125,-9.772499999999999,2.8062500000000004,-1.6624999999999999,3.370105495525799,-15.719072741968544,-25.5606964800686,-31.346696323699383,-42.604500346116595,-66.88494705420803,792.5782840661337,1447.3549274305071,2941.594195981238,5438.479433545412,10087.17358046477,15890.270874999998,-10.571273665772214,-8.18440008590846,-13.597701762135927,-26.98745515432146,-58.31552973686602,-56.261250000000004,7.755726421257967,9.388058693489763,14.21877032190377,23.441051552553922,50.0748906939411,35.09700761637607,-10.56941329557945,-12.290296269105477,-13.477104155077422,-19.226885205836485,-35.282476975790054,-17.440789016547154
2010-01-07,-5.5555555555555545,-12.222222222222221,11.17568171658471,-5.46,-7.46,9.548298277703733,7.1,-8.6175,68.125,95.35714285714286,83.375,0.7512500000000001,989.225,-7.585,1.3125,0.031249999999999944,2.398731419574564,-12.76529557899671,-16.317245398349222,-16.833924958773952,-37.11325698902753,-67.44027045717854,749.9167895229143,1399.364945435465,2875.341657434581,5353.0285490229335,10013.99170927184,15905.715618217057,-10.039899574349173,-11.901205910097321,-15.240842605915098,-29.30563835877921,-53.714047359769495,-54.43258720930232,8.146885748149566,9.524169053645588,20.324093548364548,38.34387357064214,79.9754251580698,39.4061382938606,1.1828896444570385,1.2443110159902886,5.598960878210284,12.760845231725607,6.102375936955594,-11.522583117461439
2010-01-08,-7.222222222222222,-14.444444444444445,8.94054537326777,-3.46,-13.66,8.645229898620395,1.3400000000000003,-7.145000000000001,7.875,98.875,9.3125,0.30187500000000006,991.1999999999999,-6.3100000000000005,4.45625,-4.98125,7.012288060472791,-10.607515367611434,-14.589402150797767,-24.369502876514314,-41.37943352544911,-67.6196003791909,767.0252596974926,1416.656805852901,2876.139102846645,5301.55033746422,9928.514459869994,15903.94493507752,-9.86513338783915,-12.723630594071992,-20.439872409787665,-34.223033299663115,-49.419223391481495,-52.8624515503876,12.500549514330263,0.7170950938115837,-1.3728621439595554,0.7215635664311668,49.70747476409847,37.15869229957621,-23.879223172232376,-22.75123546840101,-29.152155499999196,-21.309389119494234,-7.381600464241697,-2.3208156244492635
2010-01-09,-12.777777777777775,-22.777777777777782,7.152436298614215,-8.56,-13.96,4.441846462902562,0.03,-12.351875,2.875,79.0,0.0,0.015625000000000003,1001.7874999999999,-10.672500000000001,2.45625,-3.6187500000000004,4.387994966731517,-14.943065396588567,-23.412690646723753,-29.444352850838083,-43.00724292111627,-68.73720199913356,839.0448382699677,1484.0885547355874,2953.077278162734,5394.9856383043725,9981.97495565536,15949.003625,-12.996405559239614,-13.101452829826487,-17.717477119992793,-32.62345915437209,-51.53154283009112,-54.64875000000001,1.3492761426197728,2.990374133802792,8.11230986809863,-0.4844735228103869,16.808220488760284,24.0585089253187,-10.665698065926307,-8.314266489008219,-15.605958548011513,-9.100388515704498,-8.831779719659028,-11.169835211043184
2010-01-10,-7.222222222222222,-24.444444444444446,8.046490835940991,-7.26,-15.26,7.424957912338629,0.0,-14.205625,2.5,1.0625,0.0,0.0,1004.0875,-12.25375,3.0124999999999997,0.050000000000000155,3.8327756415412697,-20.467858703353805,-27.804426182639542,-39.41517656601196,-38.55693533243135,-65.98981618972978,859.2432153401039,1512.8623222584342,3007.229236016389,5507.83844329834,10173.829197084975,16009.127999999997,-9.995387931034484,-9.024046114694398,-12.373943826483075,-26.68696324551739,-58.084061702408036,-57.49000000000001,12.09218929354193,10.345209136933207,11.151297656270524,-0.19126001249784652,-6.559902206941615,25.179591425661695,-0.8076649018558515,-5.710855419826106,-13.891484644650133,-30.943656979379412,-50.74230446051041,-8.846333085770832
2010-01-11,-5.0,-8.888888888888891,7.152436298614215,-2.86,-7.86,6.931089380465382,1.0,-7.3425,70.625,64.125,69.3125,0.11375,994.90625,-6.285,4.09375,1.2500000000000002,5.9044050659217096,-11.244453140140507,-12.951295507796699,-19.407335782239663,-30.430244085608713,-65.87552938419824,797.5591973622913,1457.0384505653778,2978.5131403900336,5509.476619775188,10180.108032590651,16006.388625000001,-7.82219767907722,-5.753815078052146,-8.011923139766491,-25.280920059632507,-56.47824062322172,-57.46,22.771817230737955,23.49071539548507,28.664877392085913,32.687981478049906,49.8147878983417,24.641053249490188,-2.214110060399985,-8.213171155126409,-15.318331766030644,-18.583312317237546,-20.11249663513897,-12.50454505287135
